["o0","LEFT"]
["o1","LEFT"]
("o0","mode 1",1,"o0",1,"transmission")
(200, 3)
1.9458890699329984e+14 9.9711226834560274e-01 2.5505387593749052e+00
1.9490276006909547e+14 9.9720381219356036e-01 2.5938010447262836e+00
1.9521661314489112e+14 9.9729398071041209e-01 2.6370629492872135e+00
1.9553046622068678e+14 9.9738277838788703e-01 2.6803243264789844e+00
1.9584431929648241e+14 9.9747020961665533e-01 2.7235850368419210e+00
1.9615817237227806e+14 9.9755627874003661e-01 2.7668449482120416e+00
1.9647202544807369e+14 9.9764099008569773e-01 2.8101039358764441e+00
1.9678587852386934e+14 9.9772434797740328e-01 2.8533618827061882e+00
1.9709973159966500e+14 9.9780635672888407e-01 2.8966186792654143e+00
1.9741358467546062e+14 9.9788702062201917e-01 2.9398742238959708e+00
1.9772743775125628e+14 9.9796634387155725e-01 2.9831284227770039e+00
1.9804129082705194e+14 9.9804433057860764e-01 3.0263811899590727e+00
1.9835514390284756e+14 9.9812098467510801e-01 3.0696324473729026e+00
1.9866899697864322e+14 9.9819630986141628e-01 3.1128821248129279e+00
1.9898285005443888e+14 9.9827030953916862e-01 3.1561301598959624e+00
1.9929670313023450e+14 9.9834298674133803e-01 3.1993764979958921e+00
1.9961055620603016e+14 9.9841434406144225e-01 3.2426210921549607e+00
1.9992440928182581e+14 9.9848438358359914e-01 3.2858639029728605e+00
2.0023826235762144e+14 9.9855310681508003e-01 3.3291048984748079e+00
2.0055211543341709e+14 9.9862051462279922e-01 3.3723440539597913e+00
2.0086596850921272e+14 9.9868660717499769e-01 3.4155813518306140e+00
2.0117982158500838e+14 9.9875138388927698e-01 3.4588167814070454e+00
2.0149367466080403e+14 9.9881484338788029e-01 3.5020503387238202e+00
2.0180752773659966e+14 9.9887698346100717e-01 3.5452820263150926e+00
2.0212138081239531e+14 9.9893780103872776e-01 3.5885118529868505e+00
2.0243523388819097e+14 9.9899729217192657e-01 3.6317398335791022e+00
2.0274908696398659e+14 9.9905545202253143e-01 3.6749659887193546e+00
2.0306294003978225e+14 9.9911227486313003e-01 3.7181903445690261e+00
