["port 1","LEFT"]
["port 2","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(200, 3)
2.0745688310092128e+14 9.9987672029941466e-01 3.6698082812869584e+00
2.0777073617671694e+14 9.9990075566287862e-01 3.7274127017492091e+00
2.0808458925251256e+14 9.9992276179756512e-01 3.7850171020016221e+00
2.0839844232830822e+14 9.9994282101013376e-01 3.8426215057420716e+00
2.0871229540410384e+14 9.9996101492094835e-01 3.9002259341247605e+00
2.0902614847989950e+14 9.9997742434714232e-01 3.9578304059608507e+00
2.0934000155569516e+14 9.9999212918095171e-01 4.0154349379279406e+00
2.0965385463149078e+14 1.0000052082635578e+00 4.0730395447867078e+00
2.0996770770728644e+14 1.0000167392547374e+00 4.1306442396030736e+00
2.1028156078308209e+14 1.0000267984988027e+00 4.1882490339740679e+00
2.1059541385887772e+14 1.0000354608873758e+00 4.2458539382558911e+00
2.1090926693467338e+14 1.0000427997197359e+00 4.3034589617926793e+00
2.1122312001046900e+14 1.0000488865614425e+00 4.3610641131441747e+00
2.1153697308626466e+14 1.0000537911021836e+00 4.4186694003113161e+00
2.1185082616206031e+14 1.0000575810137402e+00 4.4762748309580651e+00
2.1216467923785594e+14 1.0000603218090800e+00 4.5338804126286929e+00
2.1247853231365159e+14 1.0000620767036461e+00 4.5914861529590549e+00
2.1279238538944725e+14 1.0000629064798858e+00 4.6490920598812515e+00
2.1310623846524288e+14 1.0000628693561264e+00 4.7066981418207829e+00
2.1342009154103853e+14 1.0000620208608868e+00 4.7643044078853922e+00
2.1373394461683419e+14 1.0000604137136695e+00 4.8219108680453537e+00
2.1404779769262981e+14 1.0000580977132714e+00 4.8795175333044680e+00
2.1436165076842547e+14 1.0000551196346181e+00 4.9371244158618532e+00
2.1467550384422112e+14 1.0000515231350096e+00 4.9947315292641328e+00
2.1498935692001675e+14 1.0000473486706345e+00 5.0523388885480056e+00
2.1530320999581241e+14 1.0000426334241224e+00 5.1099465103734989e+00
2.1561706307160806e+14 1.0000374112437744e+00 5.1675544131477880e+00
2.1593091614740369e+14 1.0000317125950486e+00 5.2251626171400174e+00
2.1624476922319934e+14 1.0000255645247373e+00 5.2827711445874765e+00
2.1655862229899497e+14 1.0000189906381503e+00 5.3403800197933222e+00
2.1687247537479062e+14 1.0000120110895481e+00 5.3979892692166400e+00
2.1718632845058628e+14 1.0000046425858784e+00 5.4555989215549170e+00
2.1750018152638191e+14 9.9999689840379946e-01 5.5132090078197633e+00
2.1781403460217756e+14 9.9998878841983818e-01 5.5708195614061928e+00
2.1812788767797322e+14 9.9998031915340724e-01 5.6284306181560462e+00
2.1844174075376884e+14 9.9997149382232531e-01 5.6860422164160251e+00
2.1875559382956450e+14 9.9996231241034061e-01 5.7436543970907721e+00
2.1906944690536012e+14 9.9995277174609432e-01 5.8012672036914958e+00
2.1938329998115578e+14 9.9994286559288037e-01 5.8588806823803736e+00
